CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  France, 2009
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, 2016, Used
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  France
SYSMEX XN-1000 Hematology Analyzer, 1 495 $,  USA, 2008
SYSMEX XE 2100 D Hematology Analyzer, 1 100 $,  USA, Refurbished
Nikon Stereo Microscope SMZ-2T, 19 999 $,  USA, Refurbished
"Azzota SV-1200, Digital 4nm Visible Spectrophotometer, Wavelength Range: 325-100", 11 900 $,  USA, Used
THERMO TSQ Quantum Ultra Mass Spectrometer, 1 287 $,  USA, Used
Cytyc ThinPrep 2000 Processor | Rankin 1-Year Parts & Labor Warranty, 90 $,  France, Used
Leica Documentation Tube HD V switchable 0/50/100% 10446309, 210 $,  USA, Refurbished
++ LEICA GZ4 ZOOM MICROSCOPE HEAD (BR1), 70 $,  USA, Used
OLYMPUS U-POT DROP IN POLARIZER FOR THE BX AND BH SERIES MICROSCOPES, 2 500 $,  USA, For Parts
Used Meso Scale Discovery (MSD) 1100/Sector PR Plate Reader (203-4785), 100 $,  USA, Used
Used BIO RAD MODEL IMARK MICROPLATE ABSORPTION READER, 724 $,  Netherlands, Used
T153358 Ultra-Lum EAC-20 Electronic Dual Light Transilluminator, 1 086 $,  Netherlands, Used
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  France, New
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, 2009, Used
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  France
SYSMEX XN-1000 Hematology Analyzer, 4 700 $,  France, 2016
SYSMEX XE 2100 D Hematology Analyzer, 40 000 $, 2008, Used
Used HEL Triple Walled Jacketed Glass Chemical Bioreactor, 29 $, Refurbished,  USA
Used Braun 50L fermenter, 1 100 $, Refurbished,  USA
Bio-Rad Filter blotting paper (thin) 15cm x 17.5cm, 6 300 $, Used,  USA
Used LONZA / Biotek ELX808IUBWI Plate Reader-New Performance Testing July 2019, 32 950 $, Used,  USA
Used Perkin Elmer Lambda 35 UV-Visible Spectrometer, 15 900 $, New,  USA
Used ICP-MS Bruker 820-MS ***FINANCING WARRANTY*** SET UP, 17 000 $, Used,  USA
Used Refurbished Thermo Finnigan LCQ Deca LC/MS/MS Ion Trap with Vacuum Pump & PC, 22 000 $, Used,  USA
SpectroLab M8 Optical Emission Spectrometer SPARK METAL ANALYZER ***WARRANTY***, 1 000 $, Used,  USA
Refurbished Hitachi TM-1000 Electron Microscope, 724 $, Used,  USA
Mettler Toledo UM3 Analytical MicroBalance Scale w/ Remote, 1 086 $, Refurbished,  USA
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, Used,  Netherlands
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, New,  Netherlands
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  France
SYSMEX XN-1000 Hematology Analyzer, 1 400 $,  France, 2009
SYSMEX XE 2100 D Hematology Analyzer, 3 950 $, 2016, Used
Eppendorf Centrifuge 5417C W/ F-45-30-11 Rotor, 120 $, Used,  France
Thermo Scientific CO2 Incubator 4110 -- Current Model, 9 500 $,  USA, 2008
HETTICH ZENTTRIFUGE EBA 21 CENTRIFUGE D-78532 WITHOUT ROTOR, 2 940 $,  USA, Used
~ Life Technologies EVOS XL Digital Imaging System - Complete, 3 500 $,  USA, New
Leica S9E Stereo Microscope on Dual Arm Ball Bearing Boom Stand, 80 $,  USA, Refurbished
THERMO FORMA High Performance 23.3 Laboratory Refrigerator, 2 900 $,  USA, Refurbished
2880 Beckman Coulter Vi-CELL 4mL PP Sample Vials Cups # 723908 08229NT 383721, 1 625 $,  USA, Used
Used YSI YSI 2700D Select Chemistry Analyzer (Clinical Diagnostics), 900 $,  Ukraine, Used
OLYMPUS U-DULHA DUAL LAMPHOUSE ADAPTER FOR THE BX SERIES MICROSCOPES, 724 $,  USA, New
Used Sysmex CA-560 Hematology Analyzers, 1 086 $,  USA, Used
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $,  USA, Used
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $,  Netherlands, For Parts
SYSMEX XT-2000i Hematology Analyzer, 3 500 $,  Netherlands, Used
SYSMEX XN-1000 Hematology Analyzer, 495 $,  France, New
SYSMEX XE 2100 D Hematology Analyzer, 4 850 $, 2009, Used
Used Thermo Hybaid MBLK001 ISSUE 2 PCR/Thermal Cycler, 6 890 $, Used,  France
Used THERMO SCIENTIFIC LAB VISION PT MODULE A80400002 IMMUNOHISTOCHEMISTRY, 125 $,  France, 2016
Jacketed Reactor 20L, 34 000 $, 2008, Used
Used Thermo Electron EC570-90 Electrophoresis Power Supply 57090ECA-115, 1 250 $, Used,  USA
Used Setaram Instrumentation Micro DSC III Thermal Analysis, 7 620 $, Used,  USA
Used Bausch & Lomb 3L 33.46.10 Osmometers, 3 900 $, New,  USA
Anton Paar Abbemat 200 Refractometers, 30 000 $, Used,  USA
Used NanoDrop Spectrophotometer ND-1000 COMPLETE w WARRANTY, 195 $, Used,  USA
Used Thermo Scientific iCAP 6500 DUO ICP complete *** FINANCING *** WARRANTY ***, 724 $, Used,  USA
Baxter Scientific Products Cryo-Fridge Undercounter Refrigerator SLR512A14, 1 086 $, Used,  USA
CIMAREC Telemodul 20c Laboratory Controller, 3 621 $, New,  USA
THERMO SCIENTIFIC Pierce Other Lab Equipment, 9 656 $, Refurbished,  USA
SYSMEX XT-2000i Hematology Analyzer, 3 500 $, Used,  USA
SYSMEX XN-1000 Hematology Analyzer, 12 000 $, Used,  Netherlands
SYSMEX XE 2100 D Hematology Analyzer, 18 000 $, New,  Netherlands
MV5 Automated Nitrogen Concentrator - processes up to 54 Samples***, 5 000 $, Used,  France
Rotovap® 20L Industrial size Rotary Evaporator complete with pilot plant and vacuum pump plus cooler, 3 800 $,  France, 2009
BLUE M SPX HUMIDITY CHAMBER OVEN TEMP RANGE -73C - +190C RH RANGE 10% TO 98%, 600 $, 2016, Used
