equipment,cost,condition,country
SYSMEX XE 2100 D Hematology Analyzer,7700,For Parts,USA
Refurbished Agilent (HP) G3170-80001 Mass Spectrometer,350,Refurbished,USA
Refurbished RECONDITIONED PERKIN ELMER SPECTRUM ONE FTIR (SORRY SOLD ),150,For Parts,USA
Uline H-1563S-Y Flammable Material Storage Cabinet 30 Gallon Yellow,2308,For Parts,USA
Siemens NIC-C 500-033240 FireFinder XLS Network Interface Card FIRE ALARM,400,Used,USA
Lab Companion IB-15G Incubators,150,Refurbished,USA
Thermo Forma 1886 Laminar Flow Hood / Animal Bedding Disposal Cabinet (203-4159),875,New,USA
Conductus LTC-20 Cryogenic Temperature Controller,194,For Parts,USA
Taylor Wharton Cryo Vessel and transport case - Excellent,1495,Used,Netherlands
"Bio Plas 2.0mL Cryogenic Microcentrifuge Tube - Sterile, Natural (Pack of 500) Model # 4203S",724,New,Netherlands
Ulvac Model VDN 601 Oil Sealed Rotary Vacuum Pump,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,3621,,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,
SYSMEX XT-2000i Hematology Analyzer,3500,Used,France
SYSMEX XN-1000 Hematology Analyzer,1495,,USA
SYSMEX XE 2100 D Hematology Analyzer,1100,Refurbished,USA
Nikon Stereo Microscope SMZ-2T,19999,Refurbished,USA
"Azzota SV-1200, Digital 4nm Visible Spectrophotometer, Wavelength Range: 325-100",11900,Used,USA
THERMO TSQ Quantum Ultra Mass Spectrometer,1287,Used,USA
Cytyc ThinPrep 2000 Processor | Rankin 1-Year Parts & Labor Warranty,90,Used,France
Leica Documentation Tube HD V switchable 0/50/100% 10446309,210,Refurbished,USA
++ LEICA GZ4 ZOOM MICROSCOPE HEAD (BR1),70,Used,USA
OLYMPUS U-POT DROP IN POLARIZER FOR THE BX AND BH SERIES MICROSCOPES,2500,For Parts,USA
Used Meso Scale Discovery (MSD) 1100/Sector PR Plate Reader (203-4785),100,Used,USA
Used BIO RAD MODEL IMARK MICROPLATE ABSORPTION READER,724,Used,Netherlands
T153358 Ultra-Lum EAC-20 Electronic Dual Light Transilluminator,1086,Used,Netherlands
CIMAREC Telemodul 20c Laboratory Controller,3621,New,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Used,
SYSMEX XT-2000i Hematology Analyzer,3500,Used,France
SYSMEX XN-1000 Hematology Analyzer,4700,,France
SYSMEX XE 2100 D Hematology Analyzer,40000,Used,
Used HEL Triple Walled Jacketed Glass Chemical Bioreactor,29,Refurbished,USA
Used Braun 50L fermenter,1100,Refurbished,USA
Bio-Rad Filter blotting paper (thin) 15cm x 17.5cm,6300,Used,USA
Used LONZA / Biotek ELX808IUBWI Plate Reader-New Performance Testing July 2019,32950,Used,USA
Used Perkin Elmer Lambda 35 UV-Visible Spectrometer,15900,New,USA
Used ICP-MS Bruker 820-MS ***FINANCING WARRANTY*** SET UP,17000,Used,USA
Used Refurbished Thermo Finnigan LCQ Deca LC/MS/MS Ion Trap with Vacuum Pump & PC,22000,Used,USA
SpectroLab M8 Optical Emission Spectrometer SPARK METAL ANALYZER ***WARRANTY***,1000,Used,USA
Refurbished Hitachi TM-1000 Electron Microscope,724,Used,USA
Mettler Toledo UM3 Analytical MicroBalance Scale w/ Remote,1086,Refurbished,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,Netherlands
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,New,Netherlands
SYSMEX XT-2000i Hematology Analyzer,3500,Used,France
SYSMEX XN-1000 Hematology Analyzer,1400,,France
SYSMEX XE 2100 D Hematology Analyzer,3950,Used,
Eppendorf Centrifuge 5417C W/ F-45-30-11 Rotor,120,Used,France
Thermo Scientific CO2 Incubator 4110 -- Current Model,9500,,USA
HETTICH ZENTTRIFUGE EBA 21 CENTRIFUGE D-78532 WITHOUT ROTOR,2940,Used,USA
~ Life Technologies EVOS XL Digital Imaging System - Complete,3500,New,USA
Leica S9E Stereo Microscope on Dual Arm Ball Bearing Boom Stand,80,Refurbished,USA
THERMO FORMA High Performance 23.3 Laboratory Refrigerator,2900,Refurbished,USA
2880 Beckman Coulter Vi-CELL 4mL PP Sample Vials Cups # 723908 08229NT 383721,1625,Used,USA
Used YSI YSI 2700D Select Chemistry Analyzer (Clinical Diagnostics),900,Used,Ukraine
OLYMPUS U-DULHA DUAL LAMPHOUSE ADAPTER FOR THE BX SERIES MICROSCOPES,724,New,USA
Used Sysmex CA-560 Hematology Analyzers,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,Used,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,For Parts,Netherlands
SYSMEX XT-2000i Hematology Analyzer,3500,Used,Netherlands
SYSMEX XN-1000 Hematology Analyzer,495,New,France
SYSMEX XE 2100 D Hematology Analyzer,4850,Used,
Used Thermo Hybaid MBLK001 ISSUE 2 PCR/Thermal Cycler,6890,Used,France
Used THERMO SCIENTIFIC LAB VISION PT MODULE A80400002 IMMUNOHISTOCHEMISTRY,125,,France
Jacketed Reactor 20L,34000,Used,
Used Thermo Electron EC570-90 Electrophoresis Power Supply 57090ECA-115,1250,Used,USA
Used Setaram Instrumentation Micro DSC III Thermal Analysis,7620,Used,USA
Used Bausch & Lomb 3L 33.46.10 Osmometers,3900,New,USA
Anton Paar Abbemat 200 Refractometers,30000,Used,USA
Used NanoDrop Spectrophotometer ND-1000 COMPLETE w WARRANTY,195,Used,USA
Used Thermo Scientific iCAP 6500 DUO ICP complete *** FINANCING *** WARRANTY ***,724,Used,USA
Baxter Scientific Products Cryo-Fridge Undercounter Refrigerator SLR512A14,1086,Used,USA
CIMAREC Telemodul 20c Laboratory Controller,3621,New,USA
THERMO SCIENTIFIC Pierce Other Lab Equipment,9656,Refurbished,USA
SYSMEX XT-2000i Hematology Analyzer,3500,Used,USA
SYSMEX XN-1000 Hematology Analyzer,12000,Used,Netherlands
SYSMEX XE 2100 D Hematology Analyzer,18000,New,Netherlands
MV5 Automated Nitrogen Concentrator - processes up to 54 Samples***,5000,Used,France
Rotovap® 20L Industrial size Rotary Evaporator complete with pilot plant and vacuum pump plus cooler,3800,,France
BLUE M SPX HUMIDITY CHAMBER OVEN TEMP RANGE -73C - +190C RH RANGE 10% TO 98%,600,Used,
OLYMPUS UPLANSAPO 100X 1.40 NA OBJECTIVE FOR THE BX & IX SERIES MICROSCOPES,3785,Used,France
Zeiss Laboval 4 Microscope (4 Objectives),4425,,USA
Zeiss W Plan-Apochromat 40x/1.0 DIC VIS-IR Objective,5431,Used,USA
CentriVap -50 Cold Trap with Stainless Steel Lid,6035,Used,USA
BIOMERIEUX Vitek 2 Compact Microbiological Analyzer,5500,For Parts,USA
THERMO SCIENTIFIC Microm HMS 740 Slide Stainer,724,Used,USA
