equipment,cost,condition,country
HORIBA Pentra DF Nexus Hematology Analyzer,2000,Used,USA
Pack 25 Corning Costar 96 Well U Bottom Polystyrene Microplates 3795,1700,Used,USA
Thermo Scientific ClearVue Coverslipper,796,Used,USA
Thermo Scientific HistoStar Embedding Center Cold Module A81000106,350,Used,USA
NARISHIGE MMO-22 THREE AXIS HYDRAULIC MICROMANIPULATOR,591,Used,USA
Optem OPTIZOOM 0.8x - 2.0x for Nikon Labophot and Optiphot Microscopes,293,Used,USA
Olympus U-D6RE;6 Position Nosepiece with Analyzer Slot U-R156,150,New,USA
"Olympus U-TAD:COMPENSATOR ADAPTER,6MM X 20MM",300,New,Netherlands
DIAGNOSTIC INSTRUMENTS INC MODEL 14.2 COLOR MOSAIC CCD CAMERA,500,Used,Netherlands
Olympus 288270 Microscope Assy. w/ Olympus SZ Lighted Adjustable Stand / Base,724,New,France
Used Roche Urisys 1800 Clinical Laboratory - Other,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,4750,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,239,New,USA
Used Nova Biomedical Nova Bioprofile 400 Chemistry Analyzer (Clinical Diagnostics),275,New,USA
Olympus WHN10x/22 Eyepiece Part # 2-U1007,1750,New,USA
Olympus SZ2-STS Mounting Arm for SZX w/ ESD Capability,1185,New,Netherlands
Used ForteBio ClonePix 2 Cell Counters,14,Used,France
Nikon P-Plan APO 1.0x Objective (SMZ800N/1270N) MNH54100,323,Refurbished,France
Olympus Microscope Dust Cover 015 for CX Series,615,Used Very Good,France
Nikon PlanApo 4x/0.20na Objective,622,Used Very Good,Netherlands
Nikon BD Plan 20x/0.4na ELWD Objective,624,Used,Netherlands
Zeiss Power Supply for External Hal 100 and LED Lamps,724,New,France
Leica Video Objective 1.0x Part # 10445930 & 11541006,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,India
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1250,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,8500,New,USA
Used Bausch & Lomb 3L 33.46.10 Osmometers,4950,New,USA
Used Advanced Instruments 2020 Osmometer Osmometers,6599,New,USA
Used Precision Systems 6002 Osmometers,1800,New,USA
"Gene Amplification Equipment, Thermal Cycler, Q-PCR Cycler, Open and Cheap Mini8 Real-Time Cycler",1000,New,USA
"Gene Amplification Equipment, PCR Thermal Cycler, Portable, Cheap Theater Slim PCR Cycler",59,Used,USA
G160471 Advanced Instruments 3320 Osmometer,400,New,USA
THERMO ELECTRON PX2 THERMAL CYCLER PPCYL220 ISSUE 1 HBPX2110,3995,New,Netherlands
Tecan Power Washer 384 Basic (800-2370),1950,Used,Netherlands
Paa Peak BiNEDx Microplate Handler KiNEDx BX-470 Robot,724,New,France
Thermo Wellwash Microplate Strip Washer 8 Channel w WARRANTY,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,750,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,900,Used,USA
Used Perkin Elmer Victor 3 1420-032 Multilabel Counter (203-4026),300,Used,USA
Used BioTek PowerWave X 340 Microplate Reader,45,Used,USA
Used MEDIGROUP INC Y.Tec Needlescope,75,Used,USA
Used Precision Scientific 65501 Vari-Heat 2-Place Extraction Rack Hotplate,600,Used,USA
Used SYLVANIA MODEL SS100 SOLDER SUCKER,1350,Used,USA
Used Nihon Kohden SC-170R Charger,56,Used,USA
Used FARO SILVER ARM MODEL S12 REV 14 EDGE,299,Used,Netherlands
Used ORIEL CORPORATION LASER MODEL NO 6697,3499,Used,Netherlands
Used PHARMACIA BIOTECH FRAC-100,724,New,France
Used Roche Elecsys 1010 Immunoassay Analyzer In Excellent Condition,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,Ukraine
HORIBA ABX Pentra DX Nexus Hematology Analyzer,19,New,Ukraine
HORIBA Pentra DF Nexus Hematology Analyzer,600,New,USA
Used Tempress Research 5030-M Capillary Unplugging Fixture,900,Used,USA
Used Agilent Technologies 2100 Expert Software Bioanalyzer B.02.08.SI648 SR3 Plug & P,79,New,USA
Used 10880 FLUKE 196 SCOPEMETER 100MHZ 1GS/S W/ CASE & PROBE CLIPS,79,New,USA
ASTRO-MED GRASS INSTRUMENT GENUINE GRASS GOLD DISC ELECTRODES F-E6GH,60,New,USA
MORTARA X-12 TRANSMITTER,40,New,USA
SONY MODEL PVM-137 VIDEO MONITOR,50,New,USA
ALPHA INNOTECH CORPORATION MULTIIMAGE LIGHT CABINET,1696,New,Netherlands
Peabody Ryan H-15 Thermograph w/ Chart Paper,250,Used,Netherlands
BUEHLER ISOMET 1000 PRECISION SAW LABORATORY,724,New,France
Used Molecular Dynamics Phosphorimager SI (301-1993),1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,18500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,3000,Used,USA
Used ~ Kodak Gel Logic 2200 Imaging System,15999,New,USA
Used Hoefer Slab Gel Dryer GD 2000,3995,New,USA
Used Wave Biotech System 20/50 EH (203-5304),2999,For Parts,USA
New Brunswick Scientific Fermentor Bioreactor w/Jacket Water Heater Bioflo,156,For Parts,USA
Used Cellectricon Cellaxess ACE Adherent Cell Electroporation System (800-2938),500,Used,USA
Used FISHER SCIENTIFIC UV VIEWING ELECTROPHORESIS SYSTEM FBPDS81 WITH FBUVLS-80 LAMP,4900,Used,USA
Used Applied Biosystems ABI Prism 6100 Nucleic Acid DNA RNAm RNA Purifier Prep Station,14500,Used,Netherlands
Mettler Toledo T90 Titrator Rondo Tower Autosampler With Power Supply,54000,Used,Netherlands
Used Shimadzu TOC-VCSH TOC Analyzer,724,New,France
Refurbished Bruker D4 Endeavor XRD system,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,895,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,75,Used,USA
DVI Viscometer with PC interface & Temp control,25,Used,USA
Used Radiometer Analytical PHM220 (800-0458),550,Used,USA
Used Beckman 45 pH Meter (301-7847),70000,Used,USA
Used HEWLETT PACKARD MODEL 8415A DIODE ARRAY SPECTROPHOTOMETER,20000,Used,USA
Used PANALYTICAL AXIOS XRF SPECTROMETER WDXRF ***FINANCING**WARRANTY,34000,Used,USA
Used Rigaku MiniFlex XRD X-Ray Diffractometer ***Financing***Warranty***,30000,Used,USA
Used LQQK Perkin Elmer Elan DRC E ICP/MS ***FINANCING**30 Day Warranty***,15000,Used,Netherlands
Used AB SCIEX QTRAP LCMS/MS MASS SPECTROMETER ***FINANCING*** Cannabis testing hemp,120,Used,Netherlands
EDX-8000 X-RAY FLUORESCENT SPECTROMETER XRF ANALYZER ***FINANCING***WARRANTY***,724,New,France
PHARMACIA BIOTECH ULTROSPEC 2000 UV/VISIBLE SPECTROPHOTOMETER MODEL 80-2106-00,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,220,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,9500,Used,USA
"Used Climet Instruments CI-7300-7-12-30 Model CI-7300 .3um Particle Counter, 120VAC",7999,New,USA
Used Shimadzu LCMS 2010 EV / SPD-M20A Mass Spectrometer,210000,For Parts,USA
Used Kendro 14463000 Iris Intrepid II XDL Mass Spectrometer,1950,For Parts,USA
Refurbished Agilent (HP) 6495B with 1260 Mass Spectrometer,5500,For Parts,USA
Used Hitachi L-7100 HPLC Pumps,320,For Parts,USA
Used Waters 2695 Separations Module HPLC Pumps,1880,For Parts,USA
Used Bell & Gossett M99071 HPLC Pumps,4700,Used,Netherlands
Refurbished Shimadzu LC-10AT VP HPLC Pumps,590,Used,Netherlands
Refurbished Shimadzu RF-10A XL HPLC Detectors,724,New,France
"Used Uniflows Co., LTD Ultimate DU4003 4-channel Degasser",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,19500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,34500,Used,USA
Used Thermo Scientific Dionex UltiMate 3000 UHPLC PREP System,15500,New,USA
Used Agilent 1200 Preparative HPLC System,23700,Refurbished,USA
"Refurbished Waters 2695 , 2487; 2424 ELSD----1 year warranty",500,Refurbished,USA
Refurbished Refurbished Waters Alliance e2695 and 2489 UV Detector with ONE YEAR WARRANTY,4295,Used,USA
Used Silvered Vacuum Jacket Automatic Liquid Dividing Distillation Head 29/42 + 24/40,12500,For Parts,USA
Used Shimadzu SIL-20AC HT Auto Samper,15999,Used,USA
Used Agilent 6890 GC with ECD and Split/Split-less,20555,Refurbished,Netherlands
Used Shimadzu GC-2014 Gas Chromatograph with AOC-20i Auto Injector,300,Used,Netherlands
Refurbished HP 5890 Series II GC with FID and TCD,724,New,France
Refurbished Agilent Inert Extractor Ion Source Assembly,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,280,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,110000,Used,USA
New Agilent J&W Scientific #122-0732 DB-1701; 30 Meters 0.25mm ID GC COLUMN,125000,Used,USA
Refurbished FEI Company Quanta 200 3D Electron Microscope,3500,Used,USA
AMERSHAM BIOSCIENCES BIOPROCESS OLIGOPROCESS CHROMATOGRAPHY SYSTEM,2100,Used,USA
Mettler Toledo XP204 Analytical Balance Scale 220.0000g,80,Used,USA
Mettler Toledo AT201 Analytical Balance Scale 205.00000g,2295,Used,USA
METTLER PJ360 DELTARANGE LABORATORY BALANCE SCALE,1100,New,USA
~ Mettler Toledo SG8001 Delta Range Balance,6750,For Parts,Netherlands
New In Box Mettler Toledo ICS 425 Balance with 6100g capacity .01g readability,400,Used,Netherlands
"Mettler AX26DR Microbalance with 90 Day Warranty,Fine Range Readability: 0.002",724,New,France
Mettler FP5 Thermal Moisture Balance w/ FP52 Measuring Cell,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,94,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,100,Used,USA
METTLER INSTRUMENT M5 M 5 LABORATORY SCALE 0.1 MG 20G MAX,25,Refurbished,USA
G147927 Mettler Instrument AK 160 Laboratory Balance / Scale,173,Used,USA
MAC Valve BVP214A Bullet Valve 2-Way BVP214A-CB0-00-BCTA-FTA with Manifold,300,Used,USA
#8 JAMESBURY QP1C/M QUADRA-POWR II SPRING DIAPHRAGM ACTUATOR,60,Used,USA
"MDC 433021 Foreline Coaxial Trap, 6",1250,Refurbished,USA
Fabco-Air 14PMD-3-R 3-Way Panel Mount Button Actuated Directional Control Valve,650,Refurbished,USA
Eppendorf Thermomixer R MTP Microplate Block w WARRANTY,10900,Used,Netherlands
Lab-Line Reciprocal Linear Shaker w 100ml Flask Clamps WARRANTY,261,Used,Netherlands
"Kuhner ISF-1-W Shaking Incubator with Heating, Cooling & Shaking",724,New,France
ALPHA-M MODEL AV-50 SERIES 280 VIBRATOR SHAKER LABORATORY,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,40,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,200,Refurbished,USA
IKA-ViBrax-VXR S1 Shaker with 1 Accessory Top,50,Refurbished,USA
T161740 Mettler Toledo Panther Digital Scale Terminal PTHK 1800 000,225,Used,USA
PATLITE SLF-V 4-LIGHT SIGNAL TOWER (AA9),100,For Parts,USA
SSI Fike Halon 1301 Control Panel / Fire Protection Alarm Model 10-038-01-4-00,100,Used,USA
Whelen 9M Power Distribution I/O Board 01-0268888-01 w/ Strobe Output Adapter,2000,Used,USA
Global Fire ADA GFC-ADA-ADB-KIT Door Bell Annunciator NEW SEALED BOX,200,Refurbished,USA
G157739 Waters 600 Controller & Delta 600 Solvent Pump,38995,Refurbished,Netherlands
C137414 Panasonic Panadac 261 Controller for Pana Robo Robot TJR-2,3600,Used,Netherlands
Agilent Direct Drive Robot 23083-211,724,New,France
Watson Marlow 520DI/R2 Peristaltic Pump,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1295,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1850,Used,USA
Watson Marlow Model 604U peristaltic pump - Excellent condition SALE PRICED $1295,108,Used,USA
Used Lindberg MO1450 Ovens,6700,Used,USA
Used Thermo Fisher Scientific 346 Mixers,3695,Used,USA
Refurbished Agilent 1260 G1364C Analytical Fraction Collector,265,Used,USA
Esco Ascent Max Ductless Fume Hood ADC - 4B2,905,Used,USA
Bel-Art Secador Polycarbonate Refrigerator Ready Desiccator; .6 Cu Ft 42011-0000,150,Refurbished,USA
American BioTech Supply ABT-FF-2020 Max30 Freezer (800-2898),250,For Parts,Netherlands
Fisher Scientific Undercounter Refrigerator Freezer 97-915-1,700,Used,Netherlands
Kenmore Refrigerator/Freezer 253.61822104,724,New,France
R162366 VWR Scientific Kendro R429GA14 20 CU-FT General Purpose Lab Freezer -20C,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,For Parts,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1200,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,500,Used,USA
THERMO SCIENTIFIC MODEL 956 ULTRA LOW UPRIGHT FREEZER (2859),2950,Used,USA
R155792 Thermo Revco RCRF252A14 Upright Refrigerator Freezer,2445,New,USA
Zymark TurboVap LV Evaporator w 16x125mm Rack 15ml w WARRANTY,1777,New,USA
Labogene ScanVac Vacuum Concentrator Scan Speed 32,1995,Used,USA
Air Science Ductless Downflow Workstations,80,Used,USA
Beckman Coulter Fixed Angle Titanium Rotor Type 80 Ti,413,Used,USA
Eppendorf 16A4-44 Centrifuge Rotor 5000 RPM for Eppendorf 5416 / 5403 No Buckets,450,Used,Netherlands
THERMOFORMA SERIES II WATER JACKETED CO2 INCUBATOR MODEL 3130,9975,Used,Netherlands
"Boekel Scientific 132000 Laboratory Heating Analog Incubator Oven, Lab Equipment",724,New,France
"BELLCO LARGE CAPACITY ROLL-IN FORCED AIR CO2 INCUBATOR, MODEL BG-927",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1500,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,250,Used,USA
G144722 Saunders & Associates 4350 Temperature Test Chamber w/2255 Control,800,Used,USA
MVE LAB 10 LITER CRYOGENIC NITROGEN TANK - NO LID,1450,New,USA
JS162344 Baker B40-ATS Class II Type A Biological Safety Cabinet Hood,130,New,USA
Cole Parmer PolyStat Heating & Refrigerating Circulator Chiller w WARRANTY,750,For Parts,USA
Baxter Scientific Lab-Line Durabath Heated Water Bath W2975-14 w/ Lid,2500,For Parts,USA
10127 FISHER SCIENTIFIC 2028S HEATED CIRCULATING BATH 12,4995,Refurbished,USA
9981 NESLAB CFT-75 RECIRCULATING CHILLER,3950,Used,Netherlands
Illumina AutoLoader 2.x PCE4-EX,895,Used,Netherlands
~ Agilent MS40+ High Vacuum Pump with Agilent G6011A Quiet Cover MS,724,New,France
Adixen Dual Stage Rotary Vane Vacuum Pump Pascal 2010SD,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,150,Refurbished,USA
HORIBA Pentra DF Nexus Hematology Analyzer,495,Used,USA
Gast Manufacturing Vacuum Pump Model: D0A-101-AA,3750,Refurbished,USA
~ Thomas Model 2750TGH Pump - New in Box,200,Used,USA
OLYMPUS MODEL CUT 4060E MOTORIZED MICROTOME - FULLY RECONDITIONED,200,New,USA
R159819 Microm HM-505 EVP Cryostat Microtome,1500,Used,USA
SARSTEDT LC 24 LABORATORY CENTRIFUGE,500,Used,USA
Thermo Scientific Heraeus Pico 21 Centrifuge W/ 2 Rotors,325,Used,USA
"C160782 Thermo Scientific Heraeus Labofuge 200 Centrifuge (75003631, 5300 rpm)",2895,For Parts,Netherlands
Wetzlar Wilovert Inverted Microscope,2500,Used,Netherlands
Leica DM IL Inverted Phase Contrast Microscope DMIL,724,New,France
Zeiss AxioVert 100 Inverted Fluorescence Phase Contrast Microscope - Sold As-Is,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,For Parts,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,3939,For Parts,USA
HORIBA Pentra DF Nexus Hematology Analyzer,765,Used,USA
Zeiss LD EC Epiplan-NEOFLUAR 100x/0.75na HD DIC Objective,1200,Used,USA
Zeiss ACHROPLAN 40x/0.65na Ph2 Objective,3725,New,USA
NIKON SMZ-10A Stereo Microscope,2520,Used,USA
Leica M50 Stereo Microscope on LED Transmitted Light Base with Adjustable Mirror,427,New,USA
AmScope Trinocular Boom Stand Stereo Zoom Microscope,46,Used,USA
AmScope 18MP USB 3 USB Color CMOS C-Mount Microscope Camera,1599,Used,USA
Traceable Infrared Thermometer with Pocket Clip,3017,Refurbished,Netherlands
OD600 Spectrophotometer for Bacterial Growth Rates & Colorimetric Protein Assays,2222,Used,Netherlands
BIOMERIEUX Vidas Grey Vidas 30,724,New,France
GILSON 231XL Laboratory Equipment,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,For Parts,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1999,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,1300,For Parts,USA
THERMO SCIENTIFIC Locator 4 Plus Cryogenics Equipment,219,Used,USA
MINOLTA JM 103 Bilirubinometer,149,Used,USA
"Azzota Round Vacuum Desiccator with vacuum gauge, Dia 10",1677,Used,USA
"Azzota WPPH-30 Waterproof Pen Type pH Meter, pH Range: -1.00~15.00pH (±0.01pH)",300,Used,USA
BECKMAN COULTER LH 750 Hematology Analyzer,240,Used,USA
PIRAMOON TECHNOLOGIES F14-6x250Y Biochemical Analyzer,1590,Refurbished,USA
PIRAMOON TECHNOLOGIES F21-8x50 Centrifuge Rotor,950,Refurbished,Netherlands
STERIS Sonic Console Ultrasonic Cleaner,40,Used,Netherlands
Cuvette Carousel Assembly for Beckman Coulter DXC600 DXC 800 PN: 466563,724,New,France
GE Corometrics Nautilus 5700LAX Ultrasound Transducer Top Case Cover With Wing,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,85,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,100,Used,USA
Welch Allyn Suretemp Plus Thermometer Model 690,205,Used,USA
Kanon 230 LCK Click Type Adjustable Torque Wrench,105,Used,USA
NuAire Inventory Racks 20 x 2,70,For Parts,USA
15ml Centrifuge Tubes SARSTEDT SEALED STERILE Case 500 Styrofoam Racked,20,For Parts,USA
75 Phenix 96 Well PCR Plates Non-skirted Natural MPS-499,26,Used,USA
Pack of 72 Silane-Prep Slides Sigma Aldrich S4651,1500,Used,USA
Kartell 500mL Pump Dispensing Bottle 205135 (CS/5),7795,Used,Netherlands
Thermo Scientific Shandon Excelsior Tissue Processor,38000,Used,Netherlands
"SHANDON MULTI-PROGRAM ROBOTIC SLIDE STAINER, MODEL VARISTAIN XY",724,New,France
"LEICA LARGE SCALE HEAVY-DUTY POLYCUT SLIDING SLEDGE MICROTOME, MODEL SM2500",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,New,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,5950,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,4650,New,USA
SHANDON PATHCENTRE TISSUE PROCESSOR - FULLY RECONDITIONED,4000,New,USA
~ Labconco Model 44000-00 Free Standing Steam Scrubber,755,New,USA
AUTOMOTION TECHNOLOGIES MODEL SJF-4PFH PRESCRIPTION BOTTLE LABELER (1AMA),800,New,USA
Olympus U-D6BDRE;6-Position BF/DF Nosepiece with DIC Slider Slot,399,New,USA
Olympus SPLAN Fl 1x Objective,590,New,Portugal
Olympus Left Hand Stage for BX Series Microscopes 4-U135,250,Used,United Kingdom
Olympus 60x Nomarski Prism,114,Used,Netherlands
BH2-UDF; Darkfield Cube for BH2-UMA,900,Used,Netherlands
Nikon C-W10XB 10x/22mm Microscope Eyepiece MMK30102,724,New,France
"ausJena Colposcope, Medical, Healthcare, Lab Equipment, Surgical, Laboratory",1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,Canada
HORIBA ABX Pentra DX Nexus Hematology Analyzer,65,Used Good,USA
HORIBA Pentra DF Nexus Hematology Analyzer,736,New,USA
Micropere Wetzlar 10X N.A. Numerical Aperture 0.30 Microscope Objective,95,New,USA
Zeiss Epiplan 20x/0.40na HD Objective,278,Used,Austria
Olympus NCWHK 10x/18mm Eyepiece,3100,Used Good,Austria
"Olympus U-ANT,Nosepiece Analzer for Transmitted Light fits in Nosepiece Slider",30250,Used Good,USA
Tokai Hit Thermal Plate f/Nikon Ti2/Ts2R stage TPi-TCSX,452,Used,USA
Used Olympus AU 640 Chemistry Analyzer (Clinical Diagnostics),176,New,USA
Leica Supplementary Lens 0.5x for S Series Model # 10450817,200,Used,Netherlands
Olympus Silicone Immersion Oil 30cc Part # Z-81114,1500,Used,Netherlands
OLYMPUS U-MBF3 REFLECTED LIGHT BRIGHTFIELD MIRROR CUBE,724,New,France
OLYMPUS U-DO3 LED FRONT TO BACK DUAL OBSERVATION UNIT,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,1500,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,274,New,USA
OLYMPUS BH2 RFCA FLUORESCENCE ILLUMINATOR FOR THE BH SERIES MICROSCOPES,4295,New,USA
Olympus Plan N 10x/0.25na Objective,1218,New,USA
Used Sysmex Corporation KX-21 Hematology Analyzers,1500,New,USA
Nikon Plan APO 2x/0.1na Objective Lambda,376,New,USA
LEICA PLANAPO 1.6X OBJECTIVE,199,Used,USA
Leica Video Objective 0.5x Part # 10450528,650,Used,USA
Leica Objective 0.63x supplementary lens for S4 E and all S6 models,666,Refurbished,Netherlands
Nikon CF Plan 50x/0.80na EPI Objective,153,Used,Netherlands
Zeiss Universal Mounting Frame K,724,New,France
Opti-Vision 1x 60N-C C-Mount for Zeiss microscopes with 60N-C Interface,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Refurbished,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,994,Used,USA
HORIBA Pentra DF Nexus Hematology Analyzer,150,Used,USA
Olympus S Plan Apo 40x/0.95na Objective,1000,Used,USA
T161515 Reichert MicroStar IV Laboratory Microscope 410 w/ (3) Objectives,2199,Used,USA
C142565 Nikon SMZ-U Trinocular Zoom Microscope EDPlan 1X MM-II Measurescope Base,1495,Used,USA
Used Bio-Rad Laboratories DYAD PCR/Thermal Cycler,2999,Used,USA
MJ Research DNA Engine Opticon System OPTICON 2,495,Used,USA
MJ Research PTC-200 Peltier Thermal Cycler (MJR PTC 200 Dual 48 PCR Machine),74,Used,USA
"One-step Detection Kit for Hepatitis B virus (QPCR-Probe), HBV Real Time PCR Kit, HBV qPCR Kit",100,Used,Netherlands
THERMO HYBAID MBS 0.2S THERMAL CYCLER MBLK001 ISSUE 2 HBMBS02 110,4995,Used,Netherlands
G151808 Thermo Electron HBPXE02110 PXE 0.2 Thermal Cycler,724,New,France
Peak KiNEDx Robot Stacker Microplate Handler Robotic Arm KX-300-660,1086,Used,France
CIMAREC Telemodul 20c Laboratory Controller,5431,Used,France
THERMO SCIENTIFIC Pierce Other Lab Equipment,5431,Used,USA
HORIBA Pentra DX 120 SPS Hematology Analyzer,5431,Used,USA
HORIBA ABX Pentra DX Nexus Hematology Analyzer,3400,New,USA
HORIBA Pentra DF Nexus Hematology Analyzer,4995,New,USA
Used Meso Scale Discovery (MSD) Model 1250 Sector Imager 2400,1390,New,USA
Used Thermo Fluoroskan Ascent Microplate Reader Fluorometer (Thrombinoscope),1850,New,USA
FAST AND ACCURATE METERTECH Microplate Reader,150,Used,Ukraine
Used GE PHARMACIA BIOTECH AKTA UV-900 FPLC PUMP 18-1108-35,64,New,Ukraine
Used Mel-Temp II Melting Point Laboratory Devices 120V 200 Watts,100,New,Ukraine
